Nummer,Material,Farbe,Infill-Muster,Schichthoehe (mm),Oberflaechenguete,Drucktemperatur (C),Betttemperatur (C),Druckgeschwindigkeit (mm/s),Infill (%),Wandstaerke (mm),Bauteilvolumen (cm3),Druckzeit (min),Zugfestigkeit (MPa),Erfolgreich,Bemerkungen
Druck Nr. 1,PLA,orange,Waben,0.15,fein,201,49,79,100,2.0,93.2,660.0,54.4,ja,Zweitdruck nach Fehlversuch
Druck Nr. 2,ASA,transparent,Gyroid,0.1,fein,238,95,37,50,2.4,65.9,1040.0,26.9,ja,Oberflaeche leicht rau
Druck Nr. 3,PLA,gelb,Gyroid,0.3,grob,207,46,93,15,0.8,24.5,40.0,29.6,ja,Erstversuch
Druck Nr. 4,ABS,orange,Gitter,0.1,,243,92,82,50,2.4,19.4,140.0,34.4,ja,Zweitdruck nach Fehlversuch
Druck Nr. 5,ASA,blau,Gyroid,0.3,,257,101,107,60,2.0,46.4,90.0,33.8,nein,Oberflaeche leicht rau
Druck Nr. 6,PETG,schwarz,Waben,0.25,,227,50,107,30,1.6,110.9,200.0,26.8,nein,Oberflaeche leicht rau
Druck Nr. 7,PETG,rot,Linear,0.25,,227,53,99,50,1.6,100.1,240.0,35.1,nein,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 8,PETG,schwarz,Linear,0.3,,230,75,102,30,2.0,32.6,,29.6,ja,keine besonderen Vorkommnisse
Druck Nr. 9,PLA,blau,Waben,0.25,grob,197,66,81,40,1.6,75.9,200.0,35.7,ja,keine besonderen Vorkommnisse
Druck Nr. 10,PETG,weiß,Linear,0.3,grob,241,64,67,100,1.6,43.8,,41.2,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 11,PLA,blau,Waben,0.2,mittel,212,65,112,10,2.0,36.8,60.0,28.9,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 12,PLA,,Waben,0.2,mittel,203,67,86,15,0.8,101.2,240.0,30.6,ja,Erstversuch
