Nummer,Material,Farbe,Infill-Muster,Schichthoehe (mm),Oberflaechenguete,Drucktemperatur (C),Betttemperatur (C),Druckgeschwindigkeit (mm/s),Infill (%),Wandstaerke (mm),Bauteilvolumen (cm3),Druckzeit (min),Zugfestigkeit (MPa),Erfolgreich,Bemerkungen
Druck Nr. 1,PETG,transparent,Gitter,0.1,fein,230,108,108,80,1.6,18.6,130,42.8,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 2,PETG,blau,Gyroid,0.15,fein,225,89,40,10,0.8,127.2,800,22.0,ja,Oberflaeche leicht rau
Druck Nr. 3,ABS,orange,Gitter,0.1,fein,245,115,42,80,1.2,59.4,1050,36.1,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 4,PETG,blau,Gyroid,0.2,mittel,240,50,45,20,1.2,92.0,440,33.4,nein,Referenzdruck fuer Serie
Druck Nr. 5,PLA,weiß,Linear,0.15,fein,199,40,99,40,2.4,20.9,80,44.7,ja,keine besonderen Vorkommnisse
Druck Nr. 6,PETG,weiß,Gitter,0.3,grob,231,90,111,25,1.6,57.8,80,27.6,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 7,PLA,orange,Waben,0.2,mittel,212,43,56,40,1.2,44.3,210,39.0,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 8,PLA,weiß,Gyroid,0.3,grob,205,30,38,80,2.0,61.2,400,46.2,nein,Toleranzpruefung durchgefuehrt
Druck Nr. 9,ABS,gelb,Gyroid,0.1,fein,244,106,107,50,2.4,112.6,620,33.3,nein,Toleranzpruefung durchgefuehrt
Druck Nr. 10,PETG,transparent,Waben,0.25,grob,241,97,116,20,1.6,19.8,30,25.8,nein,Referenzdruck fuer Serie
Druck Nr. 11,ASA,gelb,Gitter,0.3,grob,251,111,52,50,2.0,46.1,170,30.7,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 12,PLA,grau,Waben,0.25,grob,200,45,114,60,0.8,62.0,140,41.9,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 13,PETG,weiß,Gitter,0.1,fein,258,70,67,20,2.0,52.9,340,16.7,ja,Erstversuch
Druck Nr. 14,ASA,rot,Gyroid,0.1,fein,263,99,36,80,1.6,81.9,1690,35.9,ja,Erstversuch
Druck Nr. 15,PLA,blau,Gyroid,0.1,fein,197,64,106,30,1.2,89.1,400,36.7,nein,keine besonderen Vorkommnisse
Druck Nr. 16,PLA,weiß,Waben,0.25,grob,200,67,47,30,2.4,119.2,490,33.6,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 17,PLA,schwarz,Gitter,0.25,grob,201,41,96,100,2.4,50.4,180,51.5,nein,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 18,ABS,transparent,Gitter,0.3,grob,246,112,106,60,2.0,109.1,220,33.0,nein,Referenzdruck fuer Serie
Druck Nr. 19,PLA,orange,Gyroid,0.25,grob,208,40,64,100,0.8,88.2,470,51.7,ja,Erstversuch
Druck Nr. 20,PLA,grau,Gitter,0.3,grob,202,38,37,100,0.8,27.0,210,53.1,ja,Erstversuch
Druck Nr. 21,PLA,transparent,Linear,0.2,mittel,206,46,76,40,2.0,91.0,320,37.2,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 22,ABS,gelb,Gyroid,0.2,mittel,236,120,103,60,1.2,129.2,400,30.3,nein,Zweitdruck nach Fehlversuch
Druck Nr. 23,PLA,weiß,Waben,0.15,fein,203,43,103,20,2.0,94.5,260,35.0,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 24,PLA,grau,Linear,0.2,mittel,203,54,64,30,2.0,31.4,120,33.8,ja,Oberflaeche leicht rau
Druck Nr. 25,PLA,gelb,Linear,0.1,fein,211,50,59,30,2.0,93.3,760,35.9,ja,Referenzdruck fuer Serie
Druck Nr. 26,PETG,gelb,Waben,0.1,fein,241,101,85,40,1.6,84.9,530,31.0,nein,keine besonderen Vorkommnisse
Druck Nr. 27,PLA,transparent,Linear,0.3,grob,208,44,90,30,1.2,80.8,140,31.4,ja,Zweitdruck nach Fehlversuch
Druck Nr. 28,PLA,gelb,Gitter,0.1,fein,212,42,116,20,1.6,118.6,440,31.3,nein,Referenzdruck fuer Serie
Druck Nr. 29,PLA,blau,Gyroid,0.25,grob,195,46,117,25,2.0,127.8,200,28.6,ja,keine besonderen Vorkommnisse
Druck Nr. 30,PLA,transparent,Waben,0.2,mittel,216,50,66,25,2.0,31.0,110,34.0,ja,Zweitdruck nach Fehlversuch
Druck Nr. 31,ABS,schwarz,Gyroid,0.15,fein,251,103,118,30,0.8,30.4,80,25.7,nein,Zweitdruck nach Fehlversuch
Druck Nr. 32,ASA,schwarz,Waben,0.2,mittel,256,98,51,10,0.8,96.7,360,22.3,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 33,PLA,grau,Gitter,0.25,grob,189,20,44,60,0.8,33.6,190,36.0,nein,Oberflaeche leicht rau
Druck Nr. 34,PETG,schwarz,Gyroid,0.25,grob,242,58,69,30,1.6,133.3,370,32.3,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 35,PETG,orange,Gyroid,0.15,fein,226,88,31,10,0.8,41.9,340,22.0,nein,Referenzdruck fuer Serie
Druck Nr. 36,PLA,grau,Linear,0.2,mittel,212,51,114,10,1.6,84.4,140,28.7,nein,Referenzdruck fuer Serie
Druck Nr. 37,PLA,schwarz,Waben,0.2,mittel,209,53,43,10,1.6,103.1,450,24.7,ja,Referenzdruck fuer Serie
Druck Nr. 38,ABS,rot,Gitter,0.1,fein,248,95,94,60,2.4,93.1,630,34.7,nein,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 39,PETG,weiß,Gyroid,0.25,grob,229,70,53,25,0.8,73.4,250,27.9,nein,Zweitdruck nach Fehlversuch
Druck Nr. 40,PLA,schwarz,Gitter,0.1,fein,195,64,45,20,1.6,80.5,770,29.9,ja,Zweitdruck nach Fehlversuch
Druck Nr. 41,PETG,blau,Gitter,0.2,mittel,232,62,96,25,1.6,32.2,80,31.6,nein,Toleranzpruefung durchgefuehrt
Druck Nr. 42,PETG,schwarz,Gitter,0.2,mittel,241,71,108,20,2.4,71.0,140,33.2,nein,Toleranzpruefung durchgefuehrt
Druck Nr. 43,ASA,rot,Gyroid,0.3,grob,256,97,94,50,0.8,20.1,40,30.8,nein,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 44,ABS,orange,Gitter,0.2,mittel,259,95,65,10,1.6,58.6,170,12.8,ja,Referenzdruck fuer Serie
