Marke,Modell,Farbe,Erstzulassung,Jahr,Preis (Euro),Leistung (kW),Leistung (PS),Getriebe,Kraftstoff,Verbrauch (l/100 km),Verbrauch (g/km),Kilometerstand (km),Bemerkungen
bmw,BMW 318,schwarz,11/2008,2008,6200,105,143,Schaltgetriebe,Diesel,"4,7 l/100 km",123 g/km,222000.0,318d DPF
bmw,BMW X1,blau,06/2021,2021,42830,162,220,Automatik,Hybrid,,49 km Reichweite,29700.0,xDrive25e M Sport HUD Navi Plus DA+ Pano AHK
hyundai,Hyundai iX20,,02/2018,2018,15490,92,125,Automatik,Benzin,"6,5 l/100 km",150 g/km,81192.0,1.6 Space Plus AUTOMATIK
mercedes-benz,Mercedes-Benz SLK 200,schwarz,12/2007,2007,7600,120,163,Schaltgetriebe,Benzin,"8,7 l/100 km",- (g/km),176000.0,SLK 200 Kompressor
mercedes-benz,Mercedes-Benz GL 500,weiß,11/2013,2013,44900,320,435,Automatik,Benzin,"11,5 l/100 km",273 g/km,127000.0,BE 4Matic 7 Sitze Panorama WR+SR
peugeot,Peugeot 308,blau,08/2019,2019,16990,96,131,Schaltgetriebe,Benzin,,- (g/km),72500.0,SW PureTech 130*ALLURE*CARPLAY*3D-NAVI*ALU*
toyota,Toyota Corolla,silber,05/2014,2014,13650,97,132,Schaltgetriebe,Benzin,6 l/100 km,142 g/km,52930.0,Executive
skoda,Skoda Kamiq,blau,11/2020,2020,28990,85,116,Automatik,Diesel,"4,2 l/100 km",111 g/km,26713.0,Monte Carlo 1.6TDI 85kW+DSG+NAVI+LED+PANO+AHK
opel,Opel Adam,blau,10/2013,2013,6900,51,69,Schaltgetriebe,Benzin,"5,3 l/100 km",126 g/km,151327.0,Jam*Klimaanlage*2.Hand*Aluräder*Tempomat
volkswagen,Volkswagen Golf,schwarz,05/2008,2008,5999,90,122,Schaltgetriebe,Benzin,"6,3 l/100 km",149 g/km,259000.0,1.4 TSI GT Sport/2.Ha/Sportsitz/GT Alus/Gepfl/ZV/
ford,Ford EcoSport,schwarz,03/2015,2015,11500,92,125,Schaltgetriebe,Benzin,"5,4 l/100 km",125 g/km,84000.0,Titanium
volkswagen,Volkswagen Arteon,blau,10/2021,2021,34930,115,156,Automatik,Hybrid,"1,3 l/100 km",- (g/km),19900.0,Arteon Shooting Brake 1.4 eHybrid OPF DSG R-Line
mercedes-benz,Mercedes-Benz S 500,blau,05/2000,2000,6500,225,306,Automatik,Benzin,"13,4 l/100 km",320 g/km,151000.0,W220
mercedes-benz,Mercedes-Benz GLC 63 AMG,schwarz,11/2018,2018,58990,375,510,Automatik,Benzin,"11,9 l/100 km",270 g/km,87000.0,GLC 63s AMG Pano*Raute-Sitze*Aerodynamik*Carbon
audi,Audi A5,weiß,02/2018,2018,32799,185,252,Automatik,Benzin,"6,2 l/100 km",141 g/km,56000.0,Coupe quattro 2.0 TFSI S-Line S-Tronic LED~
audi,Audi A6,grau,05/2014,2014,30549,230,313,Automatik,Diesel,"6,4 l/100 km",170 g/km,109000.0,"Avant 3.0 ""S-LINE""| ACC| HUD| PANORAMA| BOSE|"
ford,Ford Focus,silber,01/2018,2018,14000,88,120,Schaltgetriebe,Diesel,"3,8 l/100 km",98 g/km,75282.0,1.5TDCi Navi Temp. PDC SERV.NEU GARANTIE 1Hd
audi,Audi A5,rot,04/2014,2014,12999,125,170,Automatik,Benzin,"5,8 l/100 km",137 g/km,166255.0,Sportback 1.8 TFSI s-line Automatik
toyota,Toyota Corolla,schwarz,09/2020,2020,24480,132,179,Automatik,Hybrid,"3,7 l/100 km",120 g/km,10932.0,2.0 Team D *Technik Paket*Navi*LED*
mercedes-benz,Mercedes-Benz ML 250,weiß,10/2013,2013,25990,150,204,Automatik,Diesel,"6,5 l/100 km",170 g/km,149887.0,BlueTEC AMG Pano Leer 20 Inch Panodak Leer Stoelve
mazda,Mazda 2,weiß,11/2018,2018,15900,66,90,Schaltgetriebe,Benzin,"4,9 l/100 km",111 g/km,1500.0,Center-Line Touring-P. Winterreifen
bmw,BMW Z4,rot,04/2019,2019,49200,250,340,Automatik,Benzin,"8,5 l/100 km",193 g/km,28000.0,M40i Aut.
ford,Ford Focus,grau,10/2020,2020,19990,92,125,Schaltgetriebe,Benzin,"4,2 l/100 km",96 g/km,8034.0,Focus 1.0 EcoBoost C&C LED NAV
mini,MINI One Clubman,rot,06/2016,2016,19490,75,102,Automatik,Benzin,"5,1 l/100 km",0 g/km,76409.0,Clubman One Led Navi Temp.
seat,SEAT Ibiza,schwarz,07/2019,2019,16480,85,116,Schaltgetriebe,Benzin,"4,7 l/100 km",108 g/km,44445.0,1.0 TSI FR / Navi / DAB+ / LED
ford,Ford Puma,grau,04/2021,2021,23350,88,120,Schaltgetriebe,Diesel,"3,8 l/100 km",99 g/km,5400.0,ST-Line Vignale
audi,Audi Q3,,11/2022,2022,35724,110,150,Schaltgetriebe,Diesel,"4,6 l/100 km",120 g/km,10.0,35 TDI adv. LED PDC CarPlay KeyL el.HK Kam 110 ...
skoda,Skoda Superb,weiß,05/2023,2023,39388,110,150,Automatik,Diesel,5 l/100 km,132 g/km,10.0,Combi 2.0 TDI 150 DSG Style LED Nav Kessy
seat,SEAT Ibiza,schwarz,12/2013,2013,6598,51,69,Schaltgetriebe,Benzin,"5,4 l/100 km",125 g/km,137783.0,Style 1.2 TSI*MFL*Winter-Paket*SRA*Isofix*Climatro
seat,SEAT Arona,grau,03/2023,2023,24990,81,110,Schaltgetriebe,Benzin,"4,8 l/100 km",109 g/km,6.0,FR 1.0 TSI LED Navi SHZ Kamera VC
mercedes-benz,Mercedes-Benz E 300,weiß,04/2021,2021,53710,195,265,Automatik,Diesel,"6,1 l/100 km",159 g/km,17200.0,"d 4M T Night/AMG/19""/LED/Distronic/AHK/"
mercedes-benz,Mercedes-Benz B 250,weiß,10/2021,2021,34999,160,,Automatik,Benzin,,0 g/km,22000.0,e*HYBRID*NAVI*LED*TEMPOMAT*AMG-PAKET
volkswagen,Volkswagen Golf,schwarz,09/2016,2016,10950,81,110,Schaltgetriebe,Benzin,"4,9 l/100 km",- (g/km),110000.0,1.2 TSI BlueMotion Technology Allstar
toyota,Toyota Corolla,bronze,03/2021,2021,27608,85,116,Schaltgetriebe,Benzin,"6,6 l/100 km",151 g/km,11982.0,1.2 Turbo Team Deutschland
mini,MINI Cooper,schwarz,01/2020,2020,22450,100,136,Schaltgetriebe,Benzin,"5,1 l/100 km",115 g/km,26700.0,5-Türer Pepper DAB LED Pano.Dach Shz PDC
citroen,Citroen C4 Cactus,weiß,07/2018,2018,15490,81,110,Schaltgetriebe,Benzin,45 l/100 km,104 g/km,37409.0,1.2 Puretech 110 Sitzheizung Kamera
