Marke,Modell,Farbe,Erstzulassung,Jahr,Preis (Euro),Leistung (kW),Leistung (PS),Getriebe,Kraftstoff,Verbrauch (l/100 km),Verbrauch (g/km),Kilometerstand (km),Bemerkungen
alfa-romeo,Alfa Romeo Giulia,blau,09/2020,2020,28980,147,200,Automatik,Benzin,"5,1 l/100 km",134 g/km,15000.0,2.0 Turbo 16V EU6d-T Keyless Rückfahrkam. Panorama
alfa-romeo,Alfa Romeo Giulia,blau,06/2020,2020,38900,206,280,keine Angabe,Benzin,,- (g/km),32700.0,VELOCE AWD
alfa-romeo,Alfa Romeo Stelvio,blau,09/2020,2020,26950,140,190,Automatik,Diesel,,182 g/km,110000.0,2.2 Diesel 16V Super AT8 -Langstrecke-Scheckheft
alfa-romeo,Alfa Romeo Stelvio,blau,04/2020,2020,34870,147,200,Automatik,Benzin,7 l/100 km,161 g/km,29693.0,Super Q4 2.0 Turbo #NAVI#KLIMA#XENON#SHZ
alfa-romeo,Alfa Romeo Giulia,blau,12/2020,2020,42990,154,209,Automatik,Diesel,"5,2 l/100 km",138 g/km,26519.0,Veloce Q4 Allrad Automatik Komplettausstattung
alfa-romeo,Alfa Romeo Stelvio,blau,06/2020,2020,38500,206,280,Automatik,Benzin,"7,4 l/100 km",0 g/km,40458.0,Super 2.0 280PS//NAVI//Asisstenz-Paket
alfa-romeo,Alfa Romeo Giulia,blau,05/2020,2020,54900,206,280,Automatik,Benzin,"7,7 l/100 km",178 g/km,15000.0,"Veloce 2,0 Turbo 16V Q4 - MJ20 - AT8"
alfa-romeo,Alfa Romeo Giulia,blau,10/2020,2020,44500,206,280,Automatik,Benzin,7 l/100 km,- (g/km),45000.0,Giulia 2.0 Turbo 16V AT8-Q4 Veloce
alfa-romeo,Alfa Romeo Stelvio,blau,02/2020,2020,58490,206,280,Automatik,Benzin,7 l/100 km,161 g/km,36900.0,2.0 Turbo 16V Veloce Q4 +Navi/e-Sitze/ACC/Panorama
alfa-romeo,Alfa Romeo Stelvio,blau,11/2020,2020,28990,140,190,Automatik,Diesel,"5,6 l/100 km",145 g/km,121800.0,2.2 D Super AT8-Q4 - ASSISTS - 8 x ALU
alfa-romeo,Alfa Romeo Stelvio,blau,08/2020,2020,40890,154,209,Automatik,Diesel,"5,5 l/100 km",144 g/km,34990.0,2.2 Diesel 16V AT8 Q4 Veloce MY 20
alfa-romeo,Alfa Romeo Stelvio,blau,08/2020,2020,48900,206,280,Automatik,Benzin,"7,1 l/100 km",161 g/km,8500.0,Veloce Q4
alfa-romeo,Alfa Romeo Stelvio,blau,06/2020,2020,43860,206,280,Automatik,Benzin,"6,9 l/100 km",157 g/km,49700.0,2.0 Turbo Q4 Veloce
alfa-romeo,Alfa Romeo Stelvio,blau,05/2020,2020,36700,140,190,Automatik,Diesel,"5,7 l/100 km",150 g/km,73900.0,Sprint 2.2 Diesel AT8 Q4
alfa-romeo,Alfa Romeo Stelvio,blau,07/2020,2020,36400,140,190,Automatik,Diesel,"5,7 l/100 km",150 g/km,49875.0,Super Q4+TOP+
alfa-romeo,Alfa Romeo Giulietta,grau,12/2020,2020,22990,125,170,Automatik,Diesel,"5,5 l/100 km",145 g/km,52251.0,Lusso Ti 2.0 JTDM 16V Xenon Leder Navi
alfa-romeo,Alfa Romeo Stelvio,grau,05/2020,2020,34690,147,200,Automatik,Benzin,7 l/100 km,161 g/km,21300.0,2.0Turbo Q4 Super !!! PRE-SALE PREIS !!!
alfa-romeo,Alfa Romeo Stelvio,grau,10/2020,2020,37190,147,200,Automatik,Benzin,"7,1 l/100 km",161 g/km,42850.0,2.0 Turbo Super Q4 ACC+AHK+BI-Xenon+Navi+Kamera...
alfa-romeo,Alfa Romeo Stelvio,grau,05/2020,2020,34490,147,200,Automatik,Benzin,7 l/100 km,161 g/km,21300.0,2.0Turbo Q4 Super !!! PRE-SALE PREIS !!!
alfa-romeo,Alfa Romeo Stelvio,grau,02/2020,2020,60890,375,510,Automatik,Benzin,10 l/100 km,229 g/km,36150.0,Quadrifoglio V6 Bi-Turbo 2.9T 375KW (510PS) AT8-Q4
alfa-romeo,Alfa Romeo Giulia,grau,12/2020,2020,44700,154,209,Automatik,Diesel,,165 g/km,15373.0,2.2 Diesel AT8-Q4 Veloce
alfa-romeo,Alfa Romeo Giulia,grau,09/2020,2020,33950,206,280,Automatik,Benzin,,- (g/km),18291.0,2.0 Turbo VeloceTi/LED/KAMERA/SHZ/LHZ/R19
alfa-romeo,Alfa Romeo Stelvio,grau,07/2020,2020,34750,206,280,Automatik,Benzin,8 l/100 km,254 g/km,7580.0,2.0 Turbo 4WD Leder Kamera Panorama Aut Led
alfa-romeo,Alfa Romeo Stelvio,grau,06/2020,2020,36990,147,200,Automatik,Benzin,8 l/100 km,- (g/km),26600.0,"Stelvio 2.0 Turbo 16V AT8-Q4 *AHK / 20"" / Leder*"
alfa-romeo,Alfa Romeo Stelvio,grau,07/2020,2020,34990,147,200,Automatik,Benzin,7 l/100 km,160 g/km,42617.0,MY19 Super 2.0 Turbo Navi Klima Pano PDC
alfa-romeo,Alfa Romeo Stelvio,grau,09/2020,2020,39950,206,280,Automatik,Benzin,"7,2 l/100 km",165 g/km,58000.0,"2.0 Turbo Lusso Ti Pano Apple Leder 20"""
alfa-romeo,Alfa Romeo Stelvio,grau,02/2020,2020,39900,206,280,Automatik,Benzin,7 l/100 km,158 g/km,45400.0,MY20 VELOCE 2.0 Turbo 16V 206kW
alfa-romeo,Alfa Romeo Stelvio,grau,04/2020,2020,42900,206,280,Automatik,Benzin,"7,1 l/100 km",161 g/km,57599.0,Lusso Ti Q4 280PS
alfa-romeo,Alfa Romeo Giulia,grau,10/2020,2020,30000,100,136,Automatik,Diesel,5 l/100 km,131 g/km,11500.0,"2.2 Diesel 16V ATX Super,Navi,PDC,Xenon"
alfa-romeo,Alfa Romeo Giulia,grau,04/2020,2020,46590,206,280,Automatik,Benzin,,- (g/km),25690.0,"Veloce Q4 2.0 N.P. 57.990,-"
alfa-romeo,Alfa Romeo Stelvio,grau,10/2020,2020,36990,147,200,Automatik,Benzin,"7,1 l/100 km",161 g/km,42850.0,2.0 Turbo Super Q4 ACC+AHK+BI-Xenon+Navi+Kamera...
alfa-romeo,Alfa Romeo Stelvio,grün,12/2020,2020,49890,154,209,Automatik,Diesel,"5,8 l/100 km",144 g/km,25000.0,Veloce 2.2 16V AWD Diesel
