Nummer,Material,Farbe,Infill-Muster,Schichthoehe (mm),Oberflaechenguete,Drucktemperatur (C),Betttemperatur (C),Druckgeschwindigkeit (mm/s),Infill (%),Wandstaerke (mm),Bauteilvolumen (cm3),Druckzeit (min),Zugfestigkeit (MPa),Erfolgreich,Bemerkungen
Druck Nr. 1,ASA,schwarz,Gyroid,0.15,fein,262,92,90,15,1.6,55.4,170,25.2,nein,Referenzdruck fuer Serie
Druck Nr. 2,ASA,gelb,Gitter,0.15,fein,233,106,71,60,1.2,133.3,800,19.4,ja,Erstversuch
Druck Nr. 3,PLA,weiß,Linear,0.2,mittel,218,33,80,25,1.6,127.8,360,29.4,ja,keine besonderen Vorkommnisse
Druck Nr. 4,ASA,schwarz,Linear,0.25,grob,262,96,117,50,2.4,81.9,160,33.3,nein,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 5,PETG,gelb,Linear,0.1,fein,228,68,73,20,2.4,135.2,790,30.1,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 6,ASA,schwarz,Gitter,0.1,fein,257,73,48,20,1.6,123.0,1100,23.7,nein,Zweitdruck nach Fehlversuch
Druck Nr. 7,PLA,rot,Waben,0.25,grob,221,38,89,100,0.8,69.2,260,44.8,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 8,PLA,rot,Waben,0.25,grob,214,37,98,80,2.0,138.7,420,44.3,ja,Oberflaeche leicht rau
Druck Nr. 9,ASA,schwarz,Linear,0.3,grob,270,74,104,30,1.6,28.9,40,21.4,nein,Toleranzpruefung durchgefuehrt
Druck Nr. 10,PLA,weiß,Gyroid,0.2,mittel,203,54,76,25,2.4,29.4,90,36.4,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 11,PETG,schwarz,Gyroid,0.15,fein,253,59,105,80,2.0,35.3,170,36.4,nein,Zweitdruck nach Fehlversuch
Druck Nr. 12,PETG,schwarz,Linear,0.2,mittel,224,66,60,10,1.2,86.6,270,20.1,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 13,ASA,transparent,Waben,0.3,grob,250,98,91,15,1.2,83.5,120,19.1,ja,Zweitdruck nach Fehlversuch
Druck Nr. 14,PLA,grau,Waben,0.25,grob,202,70,77,20,2.0,116.9,260,31.4,ja,keine besonderen Vorkommnisse
Druck Nr. 15,PLA,schwarz,Waben,0.1,fein,212,38,31,60,2.0,101.8,2090,43.2,ja,Referenzdruck fuer Serie
Druck Nr. 16,PETG,weiß,Linear,0.25,grob,250,91,114,60,1.2,38.6,90,30.8,ja,Zweitdruck nach Fehlversuch
Druck Nr. 17,ABS,gelb,Gitter,0.3,grob,238,94,65,25,1.6,40.8,100,22.1,nein,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 18,PLA,grau,Waben,0.3,grob,207,39,103,60,0.8,96.5,200,40.5,ja,Referenzdruck fuer Serie
Druck Nr. 19,PETG,grau,Linear,0.25,grob,230,93,107,25,2.4,52.8,90,30.6,ja,Oberflaeche leicht rau
Druck Nr. 20,PETG,rot,Gitter,0.15,fein,252,75,117,15,1.6,99.9,230,19.4,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 21,ABS,gelb,Linear,0.2,mittel,250,88,63,30,2.4,138.7,530,29.4,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 22,PETG,grau,Gyroid,0.1,fein,237,85,40,40,1.2,91.8,1220,37.0,ja,Referenzdruck fuer Serie
Druck Nr. 23,PLA,schwarz,Gitter,0.25,grob,202,47,49,60,2.0,27.0,140,42.9,ja,Erstversuch
Druck Nr. 24,PETG,orange,Waben,0.25,grob,233,78,105,100,1.2,85.4,270,45.5,ja,Zweitdruck nach Fehlversuch
Druck Nr. 25,ABS,gelb,Gitter,0.1,fein,230,91,34,80,2.4,62.7,1370,32.6,nein,Zweitdruck nach Fehlversuch
Druck Nr. 26,PLA,weiß,Linear,0.15,fein,210,50,115,80,1.6,120.1,520,48.1,ja,Zweitdruck nach Fehlversuch
