Marke,Modell,Farbe,Erstzulassung,Jahr,Preis (Euro),Leistung (kW),Leistung (PS),Getriebe,Kraftstoff,Verbrauch (l/100 km),Kilometerstand (km),Bemerkungen,Zustand
ford,Ford S-Max,grau,12/2018,2018,19350,140,190,Automatik,Diesel,5.2,100000.0,"Titanium LED+ Navi 18"" Kam DAB+ SpurhalteA",Gebrauchtwagen
mercedes-benz,Mercedes-Benz G 500,grün,10/2018,2018,119900,310,421,Automatik,Benzin,11.5,92500.0,-Mod.19 -  dt. 1. Hd. - MB-Garantie !,Gebrauchtwagen
mercedes-benz,Mercedes-Benz E 250,schwarz,05/2012,2012,18997,150,204,Schaltgetriebe,Diesel,5.1,128586.0,CDI DPF Cabrio BlueEFFICIENCY Avantgarde,Gebrauchtwagen
bmw,BMW 325,schwarz,05/2003,2003,11000,141,192,Schaltgetriebe,Benzin,9.6,190000.0,Ci Cabrio,Gebrauchtwagen
ford,Ford S-Max,schwarz,04/2017,2017,21980,132,179,Automatik,Diesel,5.0,85349.0,2.0 TDCi Aut. Titanium,Gebrauchtwagen
bmw,BMW 118,schwarz,06/2016,2016,17990,110,150,Schaltgetriebe,Diesel,5.0,76000.0,118d M Sport,Gebrauchtwagen
ford,Ford Kuga,blau,08/2020,2020,31990,140,190,Automatik,Diesel,4.8,30400.0,2.0 EcoBlue Titanium Start/Stopp Panorama SHZ/NSW,junger Gebrauchtwagen
volkswagen,Volkswagen Sharan,schwarz,02/2011,2011,9600,103,140,Schaltgetriebe,Diesel,5.5,206000.0,Sharan 2.0 TDI BlueMotion Technology Highline,Gebrauchtwagen
nissan,Nissan Note,schwarz,03/2014,2014,8999,59,80,Schaltgetriebe,Benzin,4.7,59500.0,Acenta 1.2 Keyless Totwinkel 360° - Kamera,Gebrauchtwagen
kia,Kia Ceed SW / cee'd SW,blau,06/2023,2023,24990,118,160,Schaltgetriebe,Benzin,5.3,5.0,Ceed SW 1.5 T-GDI Klima SHZ Kamera Android/Apple,Neuwagen
volkswagen,Volkswagen Polo R WRC,weiß,06/2013,2013,15999,272,370,Schaltgetriebe,Benzin,7.5,141000.0,turbo TSI 370PS/560NM,Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 250,silber,10/2010,2010,14990,150,204,Automatik,Benzin,7.9,117155.0,CGI BlueEfficiency Garantie* TÜV Neu*Pano*,Gebrauchtwagen
ford,Ford Mondeo,weiß,10/2017,2017,18749,110,150,Automatik,Diesel,4.9,73450.0,Turnier 2.0 TDCI Titanium NAV+LED+ACC+AHK,Gebrauchtwagen
opel,Opel GT,silber,08/2007,2007,13980,194,264,Schaltgetriebe,Benzin,8.9,78000.0,GT,Gebrauchtwagen
volkswagen,Volkswagen Touareg,schwarz,02/2005,2005,4600,128,174,Schaltgetriebe,Diesel,9.8,301555.0,R5 TDI (7LA),Gebrauchtwagen
opel,Opel Vectra,silber,07/2004,2004,2998,108,147,Schaltgetriebe,Benzin,8.2,65971.0,2.2 Klima Allwetterreifen Tüv 04.2025,Gebrauchtwagen
skoda,Skoda Octavia,grau,04/2019,2019,25530,180,245,Schaltgetriebe,Benzin,6.8,78455.0,Style DYNAMIC/LED/KAMERA/SPORTSITZE,Gebrauchtwagen
volkswagen,Volkswagen Golf,weiß,05/2014,2014,14450,77,105,Automatik,Benzin,4.8,70000.0,VII Lim. Cup BMT DSG NAVI SHZ PDC,Gebrauchtwagen
skoda,Skoda Fabia,rot,04/2023,2023,28795,110,150,Automatik,Benzin,5.5,10.0,"Monte Carlo 1.5 TSI DSG Carlo, Kamera, Winter, ...",Neuwagen
volkswagen,Volkswagen Tiguan,schwarz,03/2009,2009,7730,125,170,Schaltgetriebe,Diesel,6.3,188050.0,Tiguan 2.0 TDI DPF 4Motion Track,Gebrauchtwagen
porsche,Porsche Cayenne,schwarz,05/2015,2015,40900,193,262,Automatik,Diesel,6.8,185000.0,Diesel Sport Design *Pano *21 *Luft *,Gebrauchtwagen
mazda,Mazda MX-5,schwarz,09/2018,2018,24590,135,184,Schaltgetriebe,Benzin,6.9,18640.0,2.0 SKYACTIV-G 184 Signature LED NAVI PDC GRA SHZ,Gebrauchtwagen
mazda,Mazda CX-30,grau,06/2020,2020,20950,90,122,Schaltgetriebe,Benzin,5.1,28265.0,Selection KAMERA NAVI ACC HUD AID LED,junger Gebrauchtwagen
toyota,Toyota Land Cruiser,grau,09/2022,2022,63430,150,204,Automatik,Diesel,7.4,60.0,"2.8 D-4D Comfort , SHZ AHK LED",junger Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 220,grau,04/2015,2015,15700,125,170,Automatik,Diesel,4.3,170000.0,C 220 (BlueTEC) d T 7G-TRONIC,Gebrauchtwagen
volkswagen,Volkswagen Golf Sportsvan,silber,10/2014,2014,15550,92,125,Automatik,Benzin,5.6,55170.0,"1,4 TSI Comfortline DSG Bi-Xenon",Gebrauchtwagen
seat,SEAT Ateca,blau,03/2019,2019,26165,110,150,Automatik,Benzin,7.0,28450.0,1.5TSI Style DSG Navigationssystem Climatronic,Gebrauchtwagen
seat,SEAT Leon,silber,05/2016,2016,7990,81,110,Schaltgetriebe,Diesel,4.5,229000.0,1.4 TSI Start&Stop FR,Gebrauchtwagen
hyundai,Hyundai i10,braun,03/2016,2016,8000,64,87,Schaltgetriebe,Benzin,4.9,71156.0,YES!,Gebrauchtwagen
mercedes-benz,Mercedes-Benz CLA 250,schwarz,08/2020,2020,29880,165,224,Automatik,Benzin,6.2,100000.0,"Shooting Brake 3x AMG KEYLESS,DISTRONIC",junger Gebrauchtwagen
skoda,Skoda Octavia,schwarz,01/2021,2021,36990,180,245,Schaltgetriebe,Benzin,6.7,22831.0,Combi 2.0 TSI RS Plus Matrix Kamera Navi,junger Gebrauchtwagen
porsche,Porsche Macan,blau,03/2022,2022,86850,195,265,Automatik,Benzin,8.8,8900.0,*PANO*LuFT*PDLS*CHRONO*KAMERA*BOSE*ACC*14W,junger Gebrauchtwagen
mercedes-benz,Mercedes-Benz CLS 400,schwarz,10/2018,2018,55900,250,340,Automatik,Diesel,7.2,52055.0,d 4M AMG/Com/ABC/HUD/Distr/Burm/Standhzg Autom.,Gebrauchtwagen
volkswagen,Volkswagen T-Roc,rot,12/2020,2020,26950,110,150,Automatik,Diesel,5.6,60878.0,"2,0 TDi DSG 4Motion Sport ACC DAB LED NAVI SHZ",junger Gebrauchtwagen
audi,Audi A6,schwarz,02/2008,2008,8500,171,232,Schaltgetriebe,Diesel,8.1,275000.0,Avant 3.0 TDI DPF quattro,Gebrauchtwagen
